Date,Time,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry,Percent Survived,Country,Year,GDP,Departure,"Departure Lat,Lng",Departure Country
1919-12-11,,Aircraft Travel Transport,,Paris - Hounslow,de Havilland DH-4,G-EAHF,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Crashed in a field while attemptting to land.,"Catherham, Surrey, UK",51.25343400000001,-0.474562,POINT (51.25343400000001 -0.474562),100.0,United Kingdom,1919,0.0,Paris,"48.856614,2.3522219",France
1920-12-14,12:15,Handley Page Transport,,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8.0,6.0,2.0,4.0,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,"London, England",51.5073219,-0.1276474,POINT (51.5073219 -0.1276474),50.0,United Kingdom,1920,0.0,London,"51.5073509,-0.1277583",England
1921-09-06,,Franco-Roumaine,,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,"Paris, France",48.856696899999996,2.3514616000000004,POINT (48.8566969 2.3514616),100.0,France,1921,0.0,Warsaw,"52.2296756,21.0122287",Poland
1921-12-05,,West Australian Airways,,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2.0,0.0,2.0,2.0,0.0,2.0,0.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,"Murchinson River, Australia",-36.6153889,145.23824419999997,POINT (-36.6153889 145.2382442),100.0,Australia,1921,0.0,Geraldton,"-28.7796535,114.6144452",Australia
1922-03-22,11:40,Aero Limited,,Miami - Bimini,Aeromarine Model 85 (flying boat),,,6.0,5.0,1.0,5.0,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",North Atlantic Ocean,40.0,-40.0,POINT (40 -40),83.33333333333334,,1922,0.0,Miami,"25.7616798,-80.1917902",United States
1922-04-07,13:15,Daimler Airways / Grands Express Aeriens,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","Grandvilliers, France",49.6647765,1.9428278,POINT (49.6647765 1.9428278),100.0,France,1922,0.0,Croydon,"51.376165,-0.098234",United Kingdom
1922-06-03,,Cie des Messageries Aeriennes,,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3.0,2.0,1.0,3.0,2.0,1.0,0.0,Went down into the English Channel while en route.,"Folkestone, Kent, England",51.07913350000001,1.1794073,POINT (51.07913350000001 1.1794073),100.0,United Kingdom,1922,0.0,Croydon,"51.376165,-0.098234",United Kingdom
1922-07-16,16:45,Compagnie Franco-Roumaine de Navigaation Aerienne,,Strasbourg - Paris,Potez 29,F-FREI,25,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,"Saverne, Lorraine, France",48.7419909,7.3625953,POINT (48.7419909 7.3625953),100.0,France,1922,0.0,Strasbourg,"48.5734053,7.752111299999999",France
1922-10-02,,de Havilland Air Service,,Venice - London,de Havilland DH-9,G-EAYT,14,4.0,3.0,1.0,4.0,3.0,1.0,0.0,Shortly after taking off the plane crashed into the sea and sank.,"Venice, Italy",45.437190799999996,12.3345898,POINT (45.4371908 12.3345898),100.0,Italy,1922,0.0,Venice,"45.4408474,12.3155151",Veneto
1922-12-03,,Grands Express Aeriens,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,"Fez, Morocco",34.034653399999996,-5.0161926,POINT (34.0346534 -5.0161926),100.0,Morocco,1922,0.0,Toulouse,"43.604652,1.444209",France
1923-05-14,13:42,Grands Express Aeriens (Air Union),,Paris - London,Farman F-60 Goliath,F-AEBY,15,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","Amiens, Picrdie, France",49.899796,2.2163,POINT (49.899796 2.2163),100.0,France,1923,0.0,Paris,"48.856614,2.3522219",France
1923-08-27,17:30,Air Union,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11.0,9.0,2.0,1.0,1.0,0.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","East Mallling, United Kingdom",51.188190999999996,-2.2259889999999998,POINT (51.188191 -2.225989),9.090909090909092,United Kingdom,1923,0.0,Paris,"48.856614,2.3522219",France
1923-09-14,18:00,Daimler Airways,,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed while attempting a forced landing after encountering heavy rain.,"Ivinghoe, Buckinghamshire, England",51.8364034,-0.6298887,POINT (51.8364034 -0.6298887),100.0,United Kingdom,1923,0.0,Croydon,"51.376165,-0.098234",United Kingdom
1924-04-24,,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3.0,2.0,1.0,3.0,2.0,1.0,0.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,the English Channel,50.1344865,-1.9138205000000001,POINT (50.1344865 -1.9138205),100.0,La Hague,1924,0.0,"Lympne, England","51.075215,1.025608",United Kingdom
1924-06-08,,SCADTA,,Barranquilla - Bogota,Junkers F-13,A16,684,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Stalled after taking off and crashed into houses..,"Barranquilla, Colombia",10.9799669,-74.80130849999998,POINT (10.9799669 -74.80130849999998),100.0,Colombia,1924,0.0,Barranquilla,"11.0041072,-74.80698129999999",Colombia
1924-12-24,12:00,Imperial Airways,,London - Paris,de Havilland DH-34B,G-EBBX,36,8.0,7.0,1.0,8.0,7.0,1.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.","Purley, England",51.3385156,-0.11589300000000001,POINT (51.3385156 -0.115893),100.0,United Kingdom,1924,0.0,London,"51.5073509,-0.1277583",England
1925-03-22,,Zakavia,,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Shortly after take off the plane went out of control and crashed in flames.,"Tiflis, Georgia, USSR",41.640226,42.99442,POINT (41.640226 42.99442),100.0,Georgia,1925,0.0,Tiflis,"41.7151377,44.827096",Georgia
1925-04-25,,Grands Express Aeriens,,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.","Alicante, Spain",38.353738,-0.49018459999999997,POINT (38.353738 -0.4901846),100.0,Spain,1925,0.0,Alicante,"38.3459963,-0.4906855",Spain
1925-06-25,,KLM Royal Dutch Airlines,,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4.0,3.0,1.0,4.0,3.0,1.0,0.0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.","Landrécies, France",50.1250142,3.6913023000000003,POINT (50.1250142 3.6913023),100.0,France,1925,0.0,Amsterdam,"52.3675734,4.9041389",Netherlands
1925-06-26,,Grands Express Aeriens,,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,While attempting to land the seaplane hit a lightning mast and crashed.,"Alicante, Spain",38.353738,-0.49018459999999997,POINT (38.353738 -0.4901846),100.0,Spain,1925,0.0,Oran,"35.6987388,-0.6349319",Algeria
1925-07-20,,Lignes Aeriennes Latecoere,,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed in unknown circumstance.,"Rosas, Spain",42.2632018,3.1755327999999996,POINT (42.2632018 3.1755328),100.0,Spain,1925,0.0,Toulouse,"43.604652,1.444209",France
1926-05-31,,Air Union,,Paris - Cryodon,Breguet 14,F-ADAI,1908,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed into the English Channel and was never found.,English Channel,50.1344865,-1.9138205000000001,POINT (50.1344865 -1.9138205),100.0,La Hague,1926,0.0,Paris,"48.856614,2.3522219",France
1926-07-03,,Compagnie Internationale de Navigation Aérienne,,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6.0,4.0,2.0,6.0,4.0,2.0,0.0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,Slovakia,48.74115220000001,19.4528646,POINT (48.74115220000001 19.4528646),100.0,Slovakia,1926,0.0,Paris,"48.856614,2.3522219",France
1926-07-09,09:30,KLM Royal Dutch Airlines,,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed into the ground while descending in poor weather.,"Wolvertem, Belgium",50.96333145,4.2931627906237,POINT (50.96333145 4.2931627906237),100.0,Belgium,1926,0.0,Amsterdam,"52.3675734,4.9041389",Netherlands
1926-08-18,,Air Union,,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,15.0,13.0,2.0,3.0,2.0,1.0,0.0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,"Hurst, Kent, England",51.252689399999994,0.3353857,POINT (51.25268939999999 0.3353857),20.0,United Kingdom,1926,0.0,"Lebourget, France","48.936752,2.425377",France
1926-10-02,15:27,Air Union,,Paris - London,Bleriot 155,F- AICQ,1,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..","Leigh, Kent, Unied Kingdom",53.49518000000001,-2.517835,POINT (53.49518000000001 -2.517835),100.0,United Kingdom,1926,0.0,Paris,"48.856614,2.3522219",France
1926-10-21,13:15,Imperial Airways,,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,12.0,10.0,2.0,0.0,0.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",English Channel,50.1344865,-1.9138205000000001,POINT (50.1344865 -1.9138205),100.0,La Hague,1926,0.0,Croydon,"51.376165,-0.098234",United Kingdom
1927-03-24,,Qantas,,Charleville - Tambo - Blackall,de Havilland DH-9C,G-AUED,86,3.0,2.0,1.0,3.0,2.0,1.0,0.0,"While attempting to land, the engine failed, the aircraft stalled and crashed.","Tambo, Qld, Australia",-24.883064899999997,146.2532573,POINT (-24.8830649 146.2532573),100.0,Australia,1927,0.0,Charleville,"38.62136,-90.213775",St. Louis
1927-04-22,,Deutsche Lufthansa,,Charleville - Tambo - Blackall,Fokker FG III,D-729,1567,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed following engine failure.,"Floh, Germany",50.7568104,10.4730297,POINT (50.7568104 10.4730297),100.0,Germany,1927,0.0,Charleville,"38.62136,-90.213775",St. Louis
